Reference Number,Number of vehicles,Date,Time,Road class,Road surface description,Lighting conditions,Weather conditions,Casualty number,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,Type of vehicle 1,Type of vehicle 2,Type of vehicle 3,Type of vehicle 4,Type of vehicle 5,Type of vehicle 6,Type of vehicle 7,Type of vehicle 8,Type of vehicle 9,Type of vehicle 10
1143334,1,14/02/2022,1050,6,2,1,2,2,3,1,2,3,19,0,0,0,0,0,0,0,0,0
1143496,3,05/02/2022,1953,6,2,4,2,1,1,1,20,3,19,9,9,0,0,0,0,0,0,0
1143496,3,05/02/2022,1953,6,2,4,2,2,3,1,18,3,19,9,9,0,0,0,0,0,0,0
1143508,1,14/02/2022,1919,3,1,4,1,1,3,2,55,2,9,0,0,0,0,0,0,0,0,0
1143527,1,14/02/2022,1750,4,2,4,1,1,3,1,13,3,9,0,0,0,0,0,0,0,0,0
1143614,2,15/02/2022,0750,6,2,1,5,1,1,1,25,3,1,9,0,0,0,0,0,0,0,0
1143668,2,15/02/2022,0725,6,2,1,1,1,1,2,51,2,9,9,0,0,0,0,0,0,0,0
1143776,2,15/02/2022,1054,6,2,1,1,1,1,1,48,3,98,9,0,0,0,0,0,0,0,0
1143893,2,14/02/2022,1645,3,2,1,2,1,1,2,27,3,98,9,0,0,0,0,0,0,0,0
1143925,2,15/02/2022,1805,6,2,1,2,1,1,1,25,3,9,1,0,0,0,0,0,0,0,0
1144038,2,15/02/2022,1822,6,1,4,1,1,1,2,52,3,20,1,0,0,0,0,0,0,0,0
1144138,2,15/02/2022,1620,6,1,1,4,1,2,2,21,3,9,9,0,0,0,0,0,0,0,0
1144169,2,16/02/2022,1300,6,2,1,2,1,1,1,42,3,9,1,0,0,0,0,0,0,0,0
1144174,2,14/02/2022,1240,3,2,1,2,1,1,2,23,3,9,1,0,0,0,0,0,0,0,0
1144244,2,16/02/2022,0858,3,2,1,5,1,1,1,68,3,9,9,0,0,0,0,0,0,0,0
1144321,1,16/02/2022,2200,6,2,4,4,1,3,2,20,2,9,0,0,0,0,0,0,0,0,0
