Reference Number,Number of vehicles,Date,Time,Road class,Road surface description,Lighting conditions,Weather conditions,Casualty number,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,Type of vehicle 1,Type of vehicle 2,Type of vehicle 3,Type of vehicle 4,Type of vehicle 5,Type of vehicle 6,Type of vehicle 7,Type of vehicle 8,Type of vehicle 9,Type of vehicle 10
1278127,2,19/02/2023,1721,6,1,4,1,1,1,1,62,2,9,9,0,0,0,0,0,0,0,0
1278154,2,18/02/2023,2315,4,2,4,2,1,1,1,13,3,1,9,0,0,0,0,0,0,0,0
1278365,2,20/02/2023,1158,6,1,1,4,1,1,1,20,3,9,1,0,0,0,0,0,0,0,0
1278458,2,20/02/2023,1335,6,1,1,1,1,3,1,30,2,9,9,0,0,0,0,0,0,0,0
1278483,2,20/02/2023,0906,6,1,1,1,1,1,2,37,2,9,9,0,0,0,0,0,0,0,0
1278936,2,21/02/2023,1447,3,1,1,1,1,1,1,58,2,9,9,0,0,0,0,0,0,0,0
1278970,2,19/02/2023,0820,3,1,1,1,1,1,1,36,3,98,9,0,0,0,0,0,0,0,0
1278970,2,19/02/2023,0820,3,1,1,1,2,2,2,36,3,98,9,0,0,0,0,0,0,0,0
1278970,2,19/02/2023,0820,3,1,1,1,3,2,2,9,3,98,9,0,0,0,0,0,0,0,0
1278970,2,19/02/2023,0820,3,1,1,1,4,2,1,4,3,98,9,0,0,0,0,0,0,0,0
1278970,2,19/02/2023,0820,3,1,1,1,5,2,2,15,3,98,9,0,0,0,0,0,0,0,0
1278970,2,19/02/2023,0820,3,1,1,1,6,2,2,6,3,98,9,0,0,0,0,0,0,0,0
1279188,2,20/02/2023,0120,3,1,4,1,1,1,1,68,2,9,9,0,0,0,0,0,0,0,0
1279310,3,21/02/2023,1525,3,1,1,1,1,1,1,34,3,9,9,9,0,0,0,0,0,0,0
1279370,2,02/02/2023,1220,3,1,1,1,1,1,1,50,2,9,9,0,0,0,0,0,0,0,0
1279379,1,22/02/2023,0825,3,1,1,1,1,3,1,40,2,9,0,0,0,0,0,0,0,0,0
1279379,1,22/02/2023,0825,3,1,1,1,2,3,2,28,1,9,0,0,0,0,0,0,0,0,0
1279422,2,22/02/2023,1145,3,1,1,8,1,3,1,14,2,9,11,0,0,0,0,0,0,0,0
1279467,2,22/02/2023,1645,6,2,1,1,1,1,1,35,2,5,9,0,0,0,0,0,0,0,0
